pano,onscode,panamelong,region,con15,lab15,ld15,ukip15,grn15,pc15,snp15,total15,elec15,leave16sh,con17,lab17,ld17,ukip17,grn17,pc17,snp17,total17,elec17,c11degree,c11noqual,c11age1824,c11age65p,c11pubsect,c11beu,unemp15,unemp17
113,"E14000613","Bury St Edmunds","Eastern",31815,10514,3581,8739,4692,,,59341,85982,53.7,36794,18353,3565,0,2596,0,0,62160,86071,26.4,21.299999,7.8000002,19.299999,30.6,2.8,717,690
114,"W07000076","Caerphilly","Wales",6683,17864,935,7791,937,5895,,40283,63603,55.2,10413,22491,725,1259,447,5962,0,41297,64381,20.6,29.299999,8.3999996,15.8,31.8,1.1,1958,1515
115,"S14000009","Caithness, Sutherland & Easter Ross","Scotland",2326,3061,11987,981,,,15831,34186,47558,49.4,6990,3833,11061,0,0,0,9017,30901,46868,21.114382,29.81427,6.9645987,20.860048,27.373626,1.848013,940,955
116,"E14000614","Calder Valley","Yorkshire and the Humber",23354,18927,2666,5950,2090,,,53541,77754,53.2,26790,26181,1952,1466,631,0,0,58054,79045,29.9,20.700001,7.1999998,16.799999,30.7,1.3,1040,1020
117,"E14000615","Camberwell & Peckham","London",6790,32614,2580,2413,5187,,,51561,82746,30.2,7349,44665,3413,0,1627,0,0,57412,85613,37.599998,18.299999,10.6,7.8000002,30,7.5,3082,2790
118,"E14000616","Camborne & Redruth","South West",18452,11448,5687,6776,2608,,,45868,66944,57.9,23001,21424,2979,0,1052,0,0,48456,68419,22.200001,24.200001,8.6999998,20.299999,31.1,1.8,900,1045
119,"E14000617","Cambridge","Eastern",8117,18646,18047,2668,4109,,,51774,83384,26.2,9133,29032,16371,0,1265,0,0,55934,78544,46.799999,12,20.4,11.5,37.1,10.8,760,720
120,"E14000842","Cambridgeshire North East","Eastern",28524,7476,2314,11650,1816,,,51780,82990,69.4,34340,13070,2383,2174,1024,0,0,53284,84414,15.9,30.200001,7.6999998,19.700001,24.5,5.4000001,963,740
121,"E14000855","Cambridgeshire North West","Eastern",32070,10927,3479,12275,2159,,,61100,90318,57.0,37529,19521,3168,2518,1255,0,0,63991,93221,25.5,20,7.9000001,14.4,27.9,4.9000001,1069,830
122,"E14000934","Cambridgeshire South","Eastern",31454,10860,9368,6010,3848,,,61540,84132,38.4,33631,17679,12102,0,1512,0,0,64924,85257,41.799999,14.5,7.1999998,16.799999,32.9,3.8,389,350
123,"E14000937","Cambridgeshire South East","Eastern",28845,9013,12008,6593,3047,,,59506,84570,45.0,33601,17443,11958,0,0,0,0,63002,86121,34.299999,18.4,7,16.6,29.6,4.0999999,537,380
124,"E14000618","Cannock Chase","West Midlands",20811,15888,1270,8224,906,,,47099,74532,68.9,26318,17927,794,2018,815,0,0,47872,74540,17.200001,28.200001,8.3999996,16.1,25.3,1,909,850
125,"E14000619","Canterbury","South East",22918,13120,6227,7289,3746,,,53465,81341,45.3,25385,25572,4561,0,1282,0,0,56800,78182,29.700001,17.9,19.299999,17.6,37.9,4.6999998,806,955
126,"W07000050","Cardiff Central","Wales",5674,15462,10481,2499,2461,1925,,38646,57456,30.4,7997,25193,5415,343,420,999,0,40367,59288,33.5,13.8,29.799999,10.4,31.9,4.6999998,1766,1435
127,"W07000051","Cardiff North","Wales",21709,19572,1953,3953,1254,2301,,51151,67196,39.1,21907,26081,1714,582,0,1738,0,52022,67221,37.400002,16.799999,11.2,16.5,40.7,2.2,921,730
128,"W07000080","Cardiff South & Penarth","Wales",12513,19966,2318,6423,1746,3443,,46667,76006,44.9,15318,30182,1430,942,532,2162,0,50736,76499,29.4,25.6,9.8000002,13.6,30.9,3.2,2362,1875
129,"W07000079","Cardiff West","Wales",11014,17803,2069,4923,1704,6096,,43792,66762,44.8,13874,26425,1214,698,0,4418,0,46629,66775,31.6,25.200001,8.8000002,14.4,33.9,2.5999999,2058,1570
130,"E14000620","Carlisle","North West",18873,16099,1087,5277,1125,,,42587,65827,60.5,21472,18873,1256,1455,0,0,0,43056,62294,20.9,25.6,9.3000002,17.700001,26.8,2.7,919,855
131,"W07000067","Carmarthen East & Dinefwr","Wales",8336,9541,928,4363,1091,15140,,39399,55750,53.8,10778,12219,920,985,0,16127,0,41029,55976,25.9,26.200001,7.1999998,22.299999,34.3,1.3,729,730
132,"W07000066","Carmarthen West & Pembrokeshire South","Wales",17626,11572,963,4698,1290,4201,,40350,57755,55.4,19771,16661,956,905,0,3933,0,42226,58565,25,25,8.5,21.9,31.2,1.9,1112,1045
133,"E14000621","Carshalton & Wallington","London",15093,7150,16603,7049,1492,,,47613,69981,56.3,19450,9360,20819,0,501,0,0,50753,70849,27.200001,20.1,8.1999998,13.1,31,3.5999999,956,1665
134,"E14000622","Castle Point","Eastern",23112,6283,801,14178,1076,,,45450,68170,72.7,30076,11204,1049,2381,0,0,0,44710,69470,14.6,29.9,7.6999998,21.5,23.5,.89999998,741,710
135,"W07000064","Ceredigion","Wales",4123,3615,13414,3829,2088,10347,,37416,54242,45.4,7307,8017,11519,602,542,11623,0,39767,54262,27.9,19.799999,16.4,20.799999,34.3,2.5999999,594,535
136,"E14000625","Charnwood","East Midlands",28384,11453,3605,8330,,,,52261,77269,58.3,33318,16977,2052,1471,1036,0,0,55176,78071,26.299999,22.5,7.4000001,19.4,29.2,1.3,491,355
137,"E14000626","Chatham & Aylesford","South East",21614,10159,1360,8581,1101,,,43073,66355,64.7,25587,15129,1116,2225,573,0,0,44890,70419,18.1,24.200001,9.3000002,13.4,26.2,3.7,1497,1305
138,"E14000627","Cheadle","North West",22889,8673,16436,4423,,,,53095,73239,42.7,24331,10417,19824,0,0,0,0,54572,73406,36.700001,15.9,6.8000002,20.5,29.6,1.4,630,585
139,"E14000628","Chelmsford","Eastern",27732,9482,6394,7652,1892,,,53817,78580,50.5,30525,16953,6916,1645,821,0,0,56860,81032,29.6,18.200001,8.5,15.4,29,2.5,1160,950
140,"E14000629","Chelsea & Fulham","London",25322,9300,2091,2039,1474,,,40226,63478,29.2,22179,13991,4627,524,807,0,0,42128,63728,53.700001,10.3,9.6000004,11.6,16.4,14.6,1068,1195
141,"E14000630","Cheltenham","South West",24790,3902,18274,3808,2689,,,53735,77287,42.8,26615,5408,24046,0,943,0,0,57012,78878,36.700001,16.299999,11.2,16.299999,31.5,4.4000001,891,820
142,"E14000631","Chesham & Amersham","South East",31138,6712,4761,7218,2901,,,52730,72547,45.0,33514,11374,7179,1525,1660,0,0,55252,71654,41,14.7,5.9000001,19.4,25.4,3,402,420
143,"E14000640","Chester, City of","North West",22025,22118,2870,4148,,,,51161,74485,42.7,22847,32023,1551,0,0,0,0,56421,72859,33.799999,19,11.4,17.9,27.8,3.0999999,947,915
144,"E14000632","Chesterfield","East Midlands",8231,21829,6301,7523,1352,,,45567,71625,59.3,16661,26266,2612,1611,777,0,0,47927,72069,21.700001,27.1,8,18.799999,31.4,1.3,1264,1105
145,"E14000633","Chichester","South East",32953,6933,4865,8540,3742,,,57139,83396,50.6,36032,13411,6749,1650,1992,0,0,59918,84991,32.400002,19.5,8.1999998,24.4,30.4,2.9000001,676,675
146,"E14000634","Chingford & Woodford Green","London",20999,12613,2400,5644,1854,,,43804,66680,49.2,23076,20638,2043,0,1204,0,0,46961,65958,29.4,21.6,8.6000004,15.8,29.5,5.0999999,1123,980
147,"E14000635","Chippenham","South West",26354,4561,16278,5884,2330,,,55407,74218,52.3,31267,11236,14637,0,0,0,0,57140,76432,29.9,18.200001,7,17.9,30,2.9000001,746,620
148,"E14000636","Chipping Barnet","London",25759,18103,2381,4151,2501,,,53013,77807,40.9,25679,25326,3012,0,1406,0,0,55423,77218,39.299999,16,7.6999998,14.7,29.2,8,1121,1030
149,"E14000637","Chorley","North West",18792,23322,1354,6995,1111,,,51712,74679,56.6,23233,30745,1126,0,530,0,0,55634,76404,27.799999,21.4,7.8000002,16.700001,31.6,1.3,878,1130
150,"E14000638","Christchurch","South West",28887,4745,3263,10663,2149,,,49707,69303,59.9,35230,10059,4020,0,1325,0,0,50634,70309,24.9,24.4,6,32.200001,26.8,1.7,394,415
151,"E14000639","Cities Of London & Westminster","London",19570,9899,2521,1894,1953,,,36185,60992,28.6,18005,14857,4270,426,821,0,0,38654,61533,54.5,10,12,11.9,17.7,15.4,1294,1200
152,"E14000642","Clacton","Eastern",16205,6364,812,19642,1184,,,44207,68936,71.1,27031,11203,887,3357,719,0,0,44145,68566,13.4,38.799999,6.9000001,30.299999,29.5,1.5,1526,1670
153,"E14000643","Cleethorpes","Yorkshire and the Humber",21026,13133,1346,8356,1013,,,45089,71008,68.4,27321,16921,1110,2022,470,0,0,47844,72711,19,27,7.8000002,19.9,26.7,1.4,1436,1245
154,"W07000062","Clwyd South","Wales",10649,13051,1349,5480,915,3620,,35064,54996,60.3,14646,19002,731,802,0,2293,0,37474,53729,22.299999,26.6,8,17.299999,29.6,1.8,1039,735
155,"W07000059","Clwyd West","Wales",16463,9733,1387,4988,,4651,,38028,58644,52.5,19541,16104,1091,0,0,3918,0,40654,58263,25.9,25.5,7,23.9,35.2,1.2,1018,940
