pano,onscode,panamelong,region,con15,lab15,ld15,ukip15,grn15,pc15,snp15,total15,elec15,leave16sh,con17,lab17,ld17,ukip17,grn17,pc17,snp17,total17,elec17,c11degree,c11noqual,c11age1824,c11age65p,c11pubsect,c11beu,unemp15,unemp17
209,"S14000018","Dunbartonshire East","Scotland",4727,6754,19926,567,804,,22093,54871,66966,26.7,7563,7531,21023,0,0,0,15684,51801,66300,38.265888,17.901901,9.1093473,16.994047,36.248338,.83297813,540,550
210,"S14000059","Dunbartonshire West","Scotland",3597,16027,816,,,,30198,51141,69208,38.0,7582,16602,1009,0,0,0,18890,44083,67602,16.513651,32.787743,8.8347569,19.08971,34.938055,.91049385,2466,2150
211,"S14000015","Dundee East","Scotland",7206,9603,1387,,895,,28765,48185,67822,38.3,11746,11176,1615,0,0,0,18391,42928,65854,26.437405,25.266083,17.426535,16.636406,36.690557,2.242774,1442,1325
212,"S14000016","Dundee West","Scotland",3852,10592,1057,,1225,,27684,44714,65927,41.2,6257,12783,1189,0,0,0,18045,38677,62644,25.306915,26.265411,7.5337172,15.934011,36.522196,3.7578733,2346,2155
213,"S14000017","Dunfermline & West Fife","Scotland",6623,17744,2232,,1195,,28096,55890,78037,40.0,12593,17277,3019,0,0,0,18121,51010,75672,24.695301,24.323275,7.8645802,21.030262,28.619473,1.7392542,1527,1515
214,"E14000641","Durham, City of","North East",10157,21596,5153,5232,2687,,,45669,68725,44.4,14408,26772,4787,1116,797,0,0,48324,71132,29.299999,20.5,17.4,16.299999,40.4,2.0999999,915,1005
215,"E14000840","Durham North","North East",8403,22047,2046,6404,1246,,,40146,65359,60.1,12978,25917,1981,2408,0,0,0,43284,66970,20.200001,27.299999,8,18.1,31.6,.80000001,1324,1485
216,"E14000856","Durham North West","North East",10018,20074,3894,7265,1567,,,42818,69816,55.0,16516,25308,3398,2150,530,0,0,47902,71918,23.5,25.9,7.3000002,18.6,33.9,1.3,1225,1280
217,"W07000061","Dwyfor Meirionnydd","Wales",6550,3904,1153,3126,981,11811,,28913,44394,48.4,8837,6273,937,614,0,13687,0,30348,44699,25,25.299999,6.6999998,25.299999,28.7,1.1,663,525
218,"E14000674","Ealing Central & Acton","London",21728,22002,3106,1926,1841,,,50894,71422,29.2,19230,33037,3075,0,0,0,0,55342,74200,48.400002,11.6,8.8999996,10.7,22.2,14.6,1861,1785
219,"E14000675","Ealing North","London",14419,26745,1575,3922,1635,,,48510,73881,46.3,14942,34635,1275,921,743,0,0,52516,74764,30.4,19,8.6999998,11.1,23.5,13.3,1836,1680
220,"E14000676","Ealing Southall","London",9387,28147,1550,1769,2007,,,43321,65606,41.8,9630,31720,1892,504,1037,0,0,45145,65188,30.799999,19.4,10.3,10.4,21.9,7,1657,1585
221,"E14000677","Easington","North East",4478,21132,834,6491,733,,,34624,61659,66.6,8260,23152,460,1727,410,0,0,36364,62385,15.3,33.5,9.1000004,17.700001,30.5,1.1,1661,1770
222,"E14000679","East Ham","London",6311,40563,856,2622,1299,,,52290,87382,46.9,7241,47124,656,697,474,0,0,56633,83928,29.799999,20.5,13.2,6.5999999,22.1,8.6000004,2359,1850
223,"S14000019","East Kilbride, Strathaven & Lesmahagow","Scotland",7129,17151,1042,1221,,,33678,60539,83205,38.0,13704,17157,1590,628,0,0,21023,54102,80442,22.528986,25.238876,8.3322554,17.484598,31.195617,.90866566,1437,1135
224,"S14000020","East Lothian","Scotland",11511,18301,1517,1178,1245,,25104,59014,79481,35.4,16540,20158,1738,0,0,0,17075,55878,79093,26.983931,25.11808,7.9244261,18.390043,30.617156,2.1721473,1264,1730
225,"E14000684","Eastbourne","South East",20934,4143,20201,6139,1351,,,52907,78262,57.6,25315,4671,26924,0,510,0,0,57420,78754,24.4,23.4,8.3999996,23.1,34.3,4.6999998,1373,1225
226,"E14000685","Eastleigh","South East",23464,7181,14317,8783,1513,,,55505,79609,54.0,28889,11454,14710,1477,750,0,0,57280,81212,26,18.5,8.3000002,15.6,27.2,2.2,580,480
227,"E14000686","Eddisbury","North West",24167,11193,4289,5778,1624,,,47352,68569,52.2,29192,17250,2804,1109,785,0,0,51319,70272,30,21.700001,7,19.799999,24.4,1.1,525,575
228,"S14000022","Edinburgh East","Scotland",4670,14082,1325,898,2809,,23188,47089,67141,27.6,8081,15084,1849,0,0,0,18509,43523,65896,35.244797,19.770384,19.001406,13.689489,31.125455,7.6032901,1586,1295
229,"S14000023","Edinburgh North & Leith","Scotland",9378,18145,2634,847,3140,,23742,58008,80910,21.8,15385,17618,2579,0,1727,0,19243,56552,79473,49.508858,14.454075,11.136435,12.103632,28.596239,7.9871545,1714,1425
230,"S14000024","Edinburgh South","Scotland",8626,19293,1823,601,2090,,16656,49286,65801,22.2,9428,26269,1388,0,0,0,10755,47840,64553,46.911938,14.67732,14.745196,15.932192,36.145571,4.7665458,800,670
231,"S14000025","Edinburgh South West","Scotland",10444,14033,1920,1072,1965,,22168,51602,72149,27.9,16478,13213,2124,0,0,0,17575,49390,71178,38.628822,17.694969,13.600911,14.012053,31.219154,5.6693134,1541,1270
232,"S14000026","Edinburgh West","Scotland",6732,6425,18168,1015,1140,,21378,54858,71717,28.8,11559,7876,18108,0,0,0,15120,52795,71500,36.203472,19.284664,7.3493185,19.088387,29.684157,3.1234324,913,770
233,"E14000687","Edmonton","London",9969,25388,897,3366,1358,,,41338,66016,45.5,10106,31221,858,860,633,0,0,43678,65777,22.299999,27.299999,10.1,10.4,29.6,10,2528,2140
234,"E14000688","Ellesmere Port & Neston","North West",16041,22316,1563,5594,990,,,46727,69223,57.8,18747,30137,892,821,342,0,0,50939,68666,23.700001,22.9,8,18.6,26.7,1.5,1079,1050
235,"E14000689","Elmet & Rothwell","Yorkshire and the Humber",27978,19488,2640,6430,1261,,,57797,79143,56.4,32352,22547,2606,0,995,0,0,59542,80291,27.6,22.9,6.5,20.6,27.4,1.1,699,530
236,"E14000690","Eltham","London",15700,18393,1308,6481,1275,,,43157,63998,51.8,18832,25128,1457,0,0,0,0,46155,64474,27.799999,23.5,10.1,14.3,29.7,5,1238,1260
237,"E14000691","Enfield North","London",19086,20172,1059,4133,1303,,,46137,68118,49.2,17930,28177,1036,848,574,0,0,48565,68076,25.9,24.299999,8.8000002,12.1,30.4,6.8000002,1798,1585
238,"E14000692","Enfield Southgate","London",22624,17871,1518,2109,1690,,,45812,64937,37.9,20634,24989,1925,0,780,0,0,48328,65210,38.200001,17.200001,9.3000002,15.1,27,13.6,1060,970
239,"E14000693","Epping Forest","Eastern",27027,7962,3448,9049,1782,,,49348,73447,61.1,31462,13219,2884,1871,1233,0,0,50779,74737,26.299999,23.5,7.6999998,17.4,25.1,2.8,909,805
240,"E14000694","Epsom & Ewell","South East",33309,8866,5002,7117,2116,,,57143,78633,48.0,35313,14838,7401,0,1714,0,0,59266,80029,36.400002,15.8,7.4000001,17.9,29.2,3.4000001,310,475
241,"E14000695","Erewash","East Midlands",20636,17052,1658,7792,1184,,,48322,71943,63.3,25939,21405,1243,0,675,0,0,49781,72995,18.9,26.9,8.6999998,17.200001,24.8,1.5,1315,1180
242,"E14000696","Erith & Thamesmead","London",11684,21209,972,7368,941,,,42617,70397,54.3,15571,25585,750,1728,507,0,0,44464,69724,24.9,22.4,9.8000002,9.8999996,29.5,5.1999998,1806,1795
243,"E14000697","Esher & Walton","South East",35845,7229,5372,5551,2355,,,56976,79894,41.6,35071,11773,10374,1034,1074,0,0,59842,80938,42.799999,13.9,5.9000001,16.5,23.4,4.6999998,371,390
244,"E14000698","Exeter","South West",17879,25062,2321,5075,3491,,,54018,76968,44.7,18219,34336,1562,0,1027,0,0,55423,77330,27.9,18.5,18.200001,15,33.7,3.8,870,925
245,"S14000028","Falkirk","Scotland",7325,15130,1225,1829,,,34831,60340,83380,42.0,14088,16029,1120,712,908,0,20952,53809,82240,21.232969,26.439362,7.7940435,16.687624,29.715936,1.3069615,1836,1710
246,"E14000699","Fareham","South East",30689,7800,4814,8427,2129,,,54700,77114,55.4,35915,14360,3896,1541,1302,0,0,57014,78837,29.5,17.4,7.5,19.4,30.7,2,501,395
247,"E14000700","Faversham & Mid Kent","South East",24895,7403,3039,8243,1768,,,45803,69523,58.2,30390,12977,3249,1702,1431,0,0,49749,66425,25.299999,22.9,7.3000002,18,27.6,2.3,726,795
248,"E14000701","Feltham & Heston","London",14382,25845,1579,6209,1390,,,49405,82340,55.9,16859,32462,1387,1510,809,0,0,53027,81714,25.799999,21.1,10.2,10.6,19.5,7.5999999,1808,2570
250,"S14000049","Fife North East","Scotland",7373,3476,14179,,1387,,18523,45263,62003,38.1,10088,4026,13741,0,0,0,13743,41822,58685,33.916286,19.218601,14.254522,20.92276,38.988154,3.2603033,723,735
251,"E14000702","Filton & Bradley Stoke","South West",22920,13082,3581,7261,2257,,,49101,71310,48.0,25339,21149,3052,0,1162,0,0,50702,72483,29.6,16.4,10.3,15,28.8,3.4000001,614,625
252,"E14000703","Finchley & Golders Green","London",25835,20173,1662,1732,1357,,,50759,72530,30.9,24599,22942,3463,462,919,0,0,52385,73329,46.5,13.3,8.3000002,13.6,25.8,12.3,1364,1230
253,"E14000704","Folkestone & Hythe","South East",26323,7939,4882,12526,2956,,,55010,83651,61.8,32197,16786,4222,2565,2498,0,0,58875,86272,22.200001,24.4,8,20.799999,30.5,3,1606,1510
254,"E14000705","Forest Of Dean","South West",23191,12204,2630,8792,2703,,,49520,69865,58.1,28096,18594,2029,1237,1241,0,0,51767,70898,24.6,24.1,7.5999999,20.799999,27.6,1.4,695,650
256,"E14000706","Fylde","North West",21406,8182,1623,5569,1381,,,43557,65679,56.6,27334,15529,2341,0,1263,0,0,46467,65937,30,20.799999,6.6999998,23.299999,31.9,1.9,700,770
257,"E14000707","Gainsborough","East Midlands",25949,10500,3290,7727,1290,,,49261,74686,62.0,31790,14767,3630,0,1238,0,0,51425,75893,25.200001,23.1,6.9000001,21,32.4,1.7,1381,1105
258,"E14000708","Garston & Halewood","North West",6693,33839,2279,4482,1690,,,48983,73719,47.9,9450,41599,1723,0,750,0,0,53522,75248,22,30.200001,9,17.700001,33.7,1.6,2197,1945
259,"E14000709","Gateshead","North East",5502,21549,2585,6765,1548,,,37949,64524,56.0,10076,27426,1709,2281,611,0,0,42103,65186,20.700001,30.5,9.8000002,15.6,30.9,2.5,2420,2360
260,"E14000710","Gedling","East Midlands",17321,20307,1906,6930,1534,,,47998,70000,56.2,22139,26833,1052,1143,515,0,0,51682,71223,24.299999,23.9,7.8000002,17.6,31.8,1.9,1124,1035
261,"E14000711","Gillingham & Rainham","South East",22590,12060,1707,9199,1133,,,47078,70984,63.6,27091,17661,1372,2097,520,0,0,48868,72903,19.1,22.1,10.5,14.8,27.9,3,1297,1205
262,"S14000029","Glasgow Central","Scotland",2359,12996,612,786,1559,,20658,39318,70945,28.8,5014,13829,1045,0,0,0,16096,35984,64346,34.562965,24.707998,21.362745,10.366328,26.107888,5.2193255,2450,2210
263,"S14000030","Glasgow East","Scotland",2544,13729,318,1105,381,,24116,42417,70378,43.8,6816,13949,567,504,0,0,14024,36166,66242,12.740778,42.246841,9.9151049,16.005354,27.402977,2.345484,2448,2250
264,"S14000031","Glasgow North","Scotland",2901,10315,1012,486,2284,,19610,36922,60169,21.6,4935,11537,1153,0,3251,0,12597,33473,53862,40.57785,19.556717,21.282595,11.464906,35.134898,4.3539562,1674,1625
265,"S14000032","Glasgow North East","Scotland",1769,12754,300,,615,,21976,37857,66678,40.7,4106,13637,637,0,0,0,13395,31775,59931,16.70422,42.478737,10.880098,15.575279,29.790618,2.2375195,2740,2440
266,"S14000033","Glasgow North West","Scotland",3692,13544,1194,,1167,,23908,43854,68418,31.5,7002,13947,1387,0,0,0,16508,38844,63773,29.227018,30.093557,10.025384,15.244172,36.314507,2.3613796,2080,1960
267,"S14000034","Glasgow South","Scotland",4752,14504,1019,,1431,,26773,48778,74051,28.2,8506,16285,1447,0,0,0,18312,44550,69126,31.448185,26.968235,8.8182402,14.845422,32.997726,2.0545919,1828,1625
268,"S14000035","Glasgow South West","Scotland",2036,13438,406,970,507,,23388,40921,66209,40.9,5524,14326,661,481,0,0,14386,35378,62991,16.234713,37.598423,9.5476246,15.307398,30.80865,2.3934555,2625,2200
269,"S14000036","Glenrothes","Scotland",3685,14562,892,,,,28459,47598,69781,46.5,7876,14024,1208,0,0,0,17291,40399,66378,15.82993,31.906,8.1307735,17.703632,29.905485,1.5193417,1885,1805
270,"E14000712","Gloucester","South West",23837,16586,2828,7497,1485,,,52575,82968,58.9,27208,21688,2716,1495,754,0,0,54071,82965,21.799999,22.200001,9.5,14.5,29.5,4,1638,1350
271,"S14000037","Gordon","Scotland",6807,3441,19030,1166,,,27717,58161,79393,44.6,21861,6340,6230,0,0,0,19254,53685,78531,28.246504,20.956453,7.2537045,16.134361,24.586549,1.963356,385,940
272,"E14000713","Gosport","South East",26364,6926,3298,9266,1707,,,47665,73268,62.0,30647,13436,2328,1790,1024,0,0,49481,74152,23,21.200001,8.1000004,18.6,36,2.2,842,690
273,"W07000046","Gower","Wales",15862,15835,1552,4773,1161,3051,,42758,61820,50.2,19458,22727,931,642,0,1669,0,45576,62163,31.700001,20.299999,6.6999998,21.1,38.1,1.1,784,675
274,"E14000714","Grantham & Stamford","East Midlands",28399,9070,3263,9410,1872,,,53755,81150,61.0,35090,14996,3120,1745,782,0,0,56593,81740,24.799999,22.1,7,18.5,27.6,4.0999999,1012,965
275,"E14000715","Gravesham","South East",23484,15114,1111,9306,1124,,,50139,72043,65.4,27237,17890,1210,1742,723,0,0,48997,72954,20,24.4,8.8000002,16,24.5,4.6999998,1430,1410
276,"E14000716","Great Grimsby","Yorkshire and the Humber",8874,13414,1680,8417,783,,,33731,59200,71.4,14980,17545,954,1648,0,0,0,35521,61743,14.5,31.200001,10.2,15.5,26.7,2.4000001,2790,2610
277,"E14000717","Great Yarmouth","Eastern",19089,12935,1030,10270,978,,,44469,69793,71.5,23901,15928,987,2767,563,0,0,44146,71408,14.2,32.799999,8.3999996,21,26.8,3.5,2158,2990
278,"E14000718","Greenwich & Woolwich","London",12438,24384,2645,3888,2991,,,46716,73315,35.7,13501,34215,3785,0,1605,0,0,53106,77190,40,17.799999,11.1,8.3000002,27.5,7.0999999,2089,2005
279,"E14000719","Guildford","South East",30802,6534,8354,4774,2558,,,53986,75733,41.2,30295,10545,13255,0,1152,0,0,55509,75291,40.599998,13.6,12.9,15.6,28.1,5.1999998,494,450
280,"E14000720","Hackney North & Stoke Newington","London",7349,31357,2492,1085,7281,,,49887,88153,20.9,7126,42265,3817,0,2606,0,0,56298,85058,42.099998,20,10.3,6.9000001,27.3,9.6000004,2686,2325
281,"E14000721","Hackney South & Shoreditch","London",6420,30633,2186,1818,5519,,,47580,84971,22.2,6043,43974,3168,0,1522,0,0,55354,83099,41.5,19.1,11.7,7.1999998,24.5,8.5,3023,2575
282,"E14000722","Halesowen & Rowley Regis","West Midlands",18933,15851,905,7280,849,,,43818,66048,66.3,23012,17759,859,2126,440,0,0,44379,68856,19,30.6,8.3999996,18.6,28.2,.89999998,1425,1460
283,"E14000723","Halifax","Yorkshire and the Humber",17078,17506,1629,5621,1142,,,43753,70462,58.8,20131,25507,1070,1568,0,0,0,48276,71224,19.799999,27.1,8.6999998,15.2,27.5,2.8,2358,1755
284,"E14000724","Haltemprice & Howden","Yorkshire and the Humber",26414,10219,3055,6781,1809,,,48757,71195,55.5,31355,15950,2482,0,711,0,0,51440,71519,30.799999,18.9,7.6999998,21.200001,33.3,1.3,651,495
285,"E14000725","Halton","North West",8007,28292,1097,6333,1017,,,45023,72818,57.8,10710,36115,896,1488,0,0,0,49518,73457,17.4,27.200001,9.1999998,15.6,26,.89999998,1691,2105
286,"E14000726","Hammersmith","London",17463,23981,2224,2105,2105,,,47960,72254,31.0,14724,33375,2802,507,800,0,0,52252,72803,47.5,13.6,11.7,8.6999998,22.4,11.9,2576,2790
287,"E14000680","Hampshire East","South East",31334,5220,5732,6187,3176,,,51649,71074,48.7,35263,9411,8403,0,1760,0,0,55408,74151,34.099998,17,6.9000001,18.9,27.8,3,372,370
288,"E14000844","Hampshire North East","South East",35573,5290,5657,4732,2364,,,54000,76918,45.9,37754,9982,6987,1061,1476,0,0,57627,74576,38.900002,13.3,6.1999998,16.6,25.9,2.8,319,315
289,"E14000857","Hampshire North West","South East",32052,7342,5151,8109,2541,,,55195,79223,54.5,36471,13792,5708,1467,1334,0,0,58772,81430,28.299999,18.9,7,17.299999,24.9,3.3,444,415
290,"E14000727","Hampstead & Kilburn","London",22839,23977,3039,1532,2387,,,53964,80195,23.5,18904,34464,4100,0,742,0,0,58407,82957,54,11.5,8,11,21.5,11.6,1810,1720
291,"E14000728","Harborough","East Midlands",27675,8043,7037,7539,2177,,,52471,77760,52.2,30135,17706,7286,1361,1110,0,0,57598,78810,27.700001,20.9,8.8999996,18.9,30.3,1.8,616,485
292,"E14000729","Harlow","Eastern",21623,13273,904,7208,954,,,44251,67994,68.0,24230,17199,970,1787,660,0,0,44846,67699,18.4,25.700001,8,15.6,25.8,3.4000001,1309,1065
293,"E14000730","Harrogate & Knaresborough","Yorkshire and the Humber",28153,5409,11782,5681,2351,,,53376,76408,47.2,31477,11395,13309,0,0,0,0,56740,77280,34.700001,16.9,6.8000002,19.200001,29.5,3.5999999,542,890
294,"E14000731","Harrow East","London",24668,19911,1037,2333,846,,,49000,70981,47.5,25129,23372,1573,0,771,0,0,50845,71755,32.700001,19.700001,9.5,14.8,23.7,7.6999998,957,785
295,"E14000732","Harrow West","London",19677,21885,1567,2047,1310,,,46603,69644,45.1,17326,30640,1267,470,652,0,0,50355,69797,38.5,14.7,9.1999998,12,26.1,7.5999999,1239,990
296,"E14000733","Hartlepool","North East",8256,14076,761,11052,1341,,,39490,69947,69.6,14319,21969,746,4801,0,0,0,41835,70718,17.6,30.700001,9.1999998,17,31.8,.89999998,2547,3000
297,"E14000734","Harwich & Essex North","Eastern",24722,9548,3576,8464,2122,,,48432,69290,61.1,29921,15565,2787,1685,1042,0,0,51141,71294,24.299999,23,9.1999998,21.1,29.3,2.2,828,740
298,"E14000735","Hastings & Rye","South East",22686,17890,1614,6786,1951,,,50927,75095,56.2,25668,25322,1885,1479,0,0,0,54766,78319,21.799999,25.5,8.5,18.9,33.6,2.7,1940,1725
299,"E14000736","Havant","South East",23159,7149,2929,9239,2352,,,44828,70573,62.5,27676,11720,2801,2011,1122,0,0,46314,72470,22.200001,26.1,8,20.799999,27.2,1.8,1123,950
300,"E14000737","Hayes & Harlington","London",11143,26843,888,5388,794,,,45056,74874,59.4,13681,31796,601,1153,571,0,0,47802,73268,23,22.299999,10.4,9.6999998,21.1,6.0999999,1699,1510
301,"E14000738","Hazel Grove","North West",17882,7584,11330,5283,1140,,,43219,63098,52.2,20047,9036,14533,0,516,0,0,44132,63166,27.9,21.1,7,21,29.3,1.1,751,755
302,"E14000739","Hemel Hempstead","Eastern",26245,11825,2402,7249,1660,,,49633,74616,55.2,28735,19290,3233,0,1024,0,0,52282,74415,26.1,20.700001,8.1999998,15.1,24.4,2.5999999,1059,975
303,"E14000740","Hemsworth","Yorkshire and the Humber",9694,21772,1357,8565,,,,42406,72714,68.1,15566,25740,912,2591,0,0,0,45944,71870,18.4,33,8.1999998,18.1,27.6,2.0999999,1436,1165
304,"E14000741","Hendon","London",24328,20604,1088,2595,1015,,,49630,75285,41.9,25078,24006,1985,568,578,0,0,52215,76522,35.200001,17.299999,10.2,11.6,25.7,10.8,1447,1460
305,"E14000742","Henley","South East",32292,6917,6205,6007,3815,,,55236,77946,43.1,33749,11455,8485,1154,1864,0,0,57099,74997,38.700001,15.8,6.3000002,19.700001,28.3,3.0999999,269,290
306,"E14000743","Hereford & Herefordshire South","West Midlands",24844,6042,5002,7954,3415,,,47257,71485,60.2,27004,11991,3556,1153,1220,0,0,50484,71088,25.200001,24,8.1000004,19.299999,28.1,4.5,631,690
307,"E14000847","Herefordshire North","West Midlands",26716,5478,5768,6720,3341,,,48023,67926,58.3,31097,9495,5874,0,2771,0,0,50177,67751,30.1,21.799999,6.4000001,23.4,26.9,3,522,515
308,"E14000744","Hertford & Stortford","Eastern",31593,10084,4385,7534,2681,,,56277,80610,49.2,36184,17149,4845,0,1814,0,0,59992,82339,33.900002,16.9,6.8000002,14.8,25.1,3.4000001,667,545
309,"E14000845","Hertfordshire North East","Eastern",28949,9869,3952,6728,2789,,,52287,74000,51.4,32587,15752,4276,0,2965,0,0,55580,75965,31.200001,19.299999,6.6999998,17.799999,25.4,2.3,748,650
310,"E14000951","Hertfordshire South West","Eastern",32608,9345,5872,6603,2583,,,57267,79668,46.4,35128,15578,7078,1293,1576,0,0,60653,81087,38.200001,16,6.6999998,17.1,26.4,2.9000001,595,585
311,"E14000745","Hertsmere","Eastern",29696,11235,2777,6383,,,,50091,73767,50.8,31928,14977,2794,1564,990,0,0,52253,73561,30.799999,19.4,8,16.299999,26.1,4.5999999,850,775
312,"E14000746","Hexham","North East",22834,10803,2961,4302,2445,,,43345,59708,45.4,24996,15760,3285,930,1253,0,0,46224,61053,35.900002,18.700001,6.5999999,22,32.2,1.1,542,510
313,"E14000747","Heywood & Middleton","North West",9268,20926,1607,15627,1110,,,48538,79989,62.4,18961,26578,1087,3239,0,0,0,49865,79901,19.799999,28.1,8.8999996,15.9,28.5,1.8,1549,1820
314,"E14000748","High Peak","East Midlands",22836,17942,2389,5811,1811,,,50789,73336,50.5,24431,26753,2669,0,0,0,0,53853,73248,29.4,20.9,8.1000004,17.299999,29.6,1.3,878,670
315,"E14000749","Hitchin & Harpenden","Eastern",31488,11433,4484,4917,3053,,,55375,80333,39.8,31189,19158,6236,0,1329,0,0,58783,75916,43.099998,14,6.0999999,16.299999,26.8,2.7,607,545
316,"E14000750","Holborn & St Pancras","London",12014,29062,3555,2740,7013,,,54917,86764,26.7,10834,41343,4020,727,1980,0,0,58997,88088,45.200001,14.7,16.6,10.3,25.5,9.8999996,1973,1915
317,"E14000751","Hornchurch & Upminster","London",27051,11103,1501,13977,1411,,,55236,79331,69.5,33750,16027,1371,3502,1077,0,0,56045,80802,20,26.4,8.3999996,19.200001,26.4,2,1132,1075
318,"E14000752","Hornsey & Wood Green","London",5347,29417,18359,1271,3146,,,57785,79247,25.0,9246,40738,10000,429,1181,0,0,62293,79946,52,12.4,8.1999998,9.3999996,27.1,12.9,1966,1745
319,"E14000753","Horsham","South East",32627,6499,6647,7969,2198,,,56925,79085,48.7,36906,13422,7644,1533,1844,0,0,61987,82772,32.200001,15.6,6.5999999,17,24.1,2.8,505,500
320,"E14000754","Houghton & Sunderland South","North East",7105,21218,791,8280,1095,,,38489,68324,62.4,12324,24665,908,2379,725,0,0,41480,68123,16.700001,30.700001,8.3999996,18.4,30.8,.69999999,1619,1665
321,"E14000755","Hove","South East",20846,22082,1861,3265,3569,,,52214,73505,33.9,18185,36942,1311,0,971,0,0,57596,74236,38.400002,16.5,7.8000002,14.7,28.4,5.4000001,1245,1120
322,"E14000756","Huddersfield","Yorkshire and the Humber",10841,18186,2365,5948,2798,,,40478,65269,51.1,14465,26470,1155,0,1395,0,0,43834,67037,23.700001,25,12.7,15,28.6,3,2320,1905
323,"E14000771","Hull East","Yorkshire and the Humber",5593,18180,2294,7861,806,,,35144,65710,72.6,10959,21355,1258,2573,493,0,0,36638,65959,12.3,34.099998,9.8000002,15.5,26.8,1.9,2775,2070
324,"E14000772","Hull North","Yorkshire and the Humber",5306,18661,3175,5762,2066,,,35336,64148,60.0,9363,23685,1869,1601,604,0,0,37122,64665,18.9,27.9,16.6,11.6,29.8,5.0999999,2956,2315
325,"E14000773","Hull West & Hessle","Yorkshire and the Humber",5561,15646,3169,6313,943,,,31803,59100,67.8,10317,18342,2210,1399,332,0,0,34565,60181,16.1,31.299999,9.8999996,15.6,27.1,5,2928,2315
326,"E14000757","Huntingdon","Eastern",29652,10249,4375,9473,2178,,,55927,82593,53.3,32915,18440,5090,2180,1095,0,0,59720,84273,28.5,19.1,8.1999998,16.200001,27.9,4.3000002,656,525
327,"E14000758","Hyndburn","North West",13676,18076,859,9154,1122,,,42887,68341,65.8,18305,24120,824,1953,0,0,0,45202,71608,19.5,27.6,8.6000004,15.7,29.3,1.7,1292,1490
328,"E14000759","Ilford North","London",20874,21463,1130,4355,1023,,,48932,75294,52.6,20950,30589,1034,0,0,0,0,52941,70791,30.1,20.4,8.6000004,13.5,28.6,5.3000002,1072,880
329,"E14000760","Ilford South","London",13455,33232,1014,2705,1506,,,51912,91987,43.9,12077,43724,772,477,542,0,0,57657,82487,32.5,18.4,10.5,9.3999996,27.6,5.5,1891,1570
330,"S14000038","Inverclyde","Scotland",4446,13522,1106,715,,,24585,44607,59350,36.2,8399,14666,978,0,0,0,15050,39093,58853,19.743774,32.593391,8.7095785,18.673376,33.074688,.79892004,1743,1810
331,"S14000039","Inverness, Nairn, Badenoch & Strathspey","Scotland",3410,4311,18029,1236,1367,,28838,57613,77628,41.4,16118,8552,6477,0,0,0,21042,52801,76844,28.149231,23.253557,7.4556584,17.444279,31.336888,3.9299169,1059,1485
332,"E14000761","Ipswich","Eastern",21794,18061,1400,5703,1736,,,48694,74499,56.6,23393,24224,1187,1372,840,0,0,51137,75668,21.799999,24.9,10.1,14.3,27.5,5.5,1818,1605
333,"E14000762","Isle Of Wight","South East",28591,8984,5235,14888,9404,,,70300,108804,61.9,38190,17121,2740,1921,12915,0,0,74479,110683,22.6,24.299999,7,23.9,32.2,1.9,2040,1700
334,"E14000763","Islington North","London",8465,29659,3984,1971,5043,,,49234,73326,21.6,6871,40086,4946,413,2229,0,0,54928,74831,48.799999,16.5,10.5,8.6000004,25.9,9.1000004,2244,2085
335,"E14000764","Islington South & Finsbury","London",9839,22547,4829,3375,3371,,,44270,68127,28.3,9925,30188,5809,929,1198,0,0,48049,69536,47.400002,17.4,14.7,8.8000002,21.1,9.6999998,1786,1685
336,"W07000077","Islwyn","Wales",5366,17336,950,6932,659,3794,,35401,55697,58.9,9826,21238,685,1605,0,2739,0,36093,56256,18.1,31.6,8.6000004,17.299999,30,.80000001,1578,1225
337,"E14000765","Jarrow","North East",6584,21464,1238,7583,1310,,,38564,64002,61.6,10757,28020,1163,2338,745,0,0,43023,64778,19.700001,26.9,8.3000002,17.799999,32.4,.69999999,1839,1830
338,"E14000766","Keighley","Yorkshire and the Humber",21766,18713,1321,5662,1661,,,49123,68865,53.3,23817,24056,1226,1291,790,0,0,51714,71429,26.700001,24.299999,7.5999999,17.299999,29.6,2.0999999,1412,1065
339,"E14000767","Kenilworth & Southam","West Midlands",28474,7472,4913,5467,1956,,,48791,63957,46.6,31207,13131,4921,929,1133,0,0,51321,66319,38,16.4,7.6999998,20.9,28.8,2,267,235
340,"E14000768","Kensington","London",18199,10838,1962,1557,1765,,,34828,61133,31.4,16313,16333,4724,0,767,0,0,38677,60588,52.200001,10.5,9.5,11.1,15.3,16.4,1474,1355
341,"E14000769","Kettering","East Midlands",24467,11877,1490,7600,1633,,,47218,70155,61.0,28616,18054,1618,0,1116,0,0,49404,71440,23.299999,22.799999,7.5,16.1,27.7,3.5,1115,1040
342,"S14000040","Kilmarnock & Loudoun","Scotland",6752,16362,789,,,,30000,53903,75250,39.6,12404,13421,994,0,0,0,19690,46509,73327,19.169834,32.67728,8.6592293,17.77709,31.278776,.82326204,2359,2100
343,"E14000770","Kingston & Surbiton","London",23249,8574,20415,4321,2322,,,59253,81238,41.6,23686,9203,27810,675,536,0,0,62178,81588,38.599998,14.5,11.6,13,27.4,6.5,1001,1015
344,"E14000774","Kingswood","South West",23252,14246,1827,7133,1370,,,48125,68193,56.8,26754,19254,1749,0,984,0,0,48741,69368,22.200001,21.200001,7.9000001,17.1,28.5,1.6,696,650
